"Comparison","P_Value","P_Value_Formatted","Significance"
"Medium (6-20) Positive vs Negative",2.80473541888631e-13,"< 0.001","***"
"Small (1-5) Positive vs Negative",0.170174626695541,"0.17017","ns"
"Large (>20) Positive vs Negative",1.07181580762985e-12,"< 0.001","***"
"Positive: Small (1-5) vs Medium (6-20)",0.00013955017417752,"< 0.001","***"
"Positive: Small (1-5) vs Large (>20)",0.000408837985940258,"< 0.001","***"
"Positive: Medium (6-20) vs Large (>20)",0.735422582419794,"0.73542","ns"
"Negative: Medium (6-20) vs Large (>20)",0.00884616382119733,"0.00885","**"
"Negative: Medium (6-20) vs Small (1-5)",0.774424044920114,"0.77442","ns"
"Negative: Large (>20) vs Small (1-5)",0.0449966512694488,"0.04500","*"
